date,borsa_istanbul,dolar_kuru,enflasyon,faiz
2023-10-08,3.0,30.0,2.0,19.0
2023-10-09,3.0,30.142857142857142,2.0,19.285714285714285
2023-10-10,3.0,30.285714285714285,2.0,19.571428571428573
2023-10-11,3.0,30.428571428571427,2.0,19.857142857142858
2023-10-12,3.0,30.571428571428573,2.0,20.142857142857142
2023-10-13,3.0,30.714285714285715,2.0,20.428571428571427
2023-10-14,3.0,30.857142857142858,2.0,20.714285714285715
2023-10-15,3.0,31.0,2.0,21.0
2023-10-16,3.142857142857143,30.857142857142858,2.142857142857143,22.571428571428573
2023-10-17,3.2857142857142856,30.714285714285715,2.2857142857142856,24.142857142857142
2023-10-18,3.4285714285714284,30.571428571428573,2.4285714285714284,25.714285714285715
2023-10-19,3.571428571428571,30.428571428571427,2.571428571428571,27.285714285714285
2023-10-20,3.7142857142857144,30.285714285714285,2.7142857142857144,28.857142857142858
2023-10-21,3.857142857142857,30.142857142857142,2.857142857142857,30.42857142857143
2023-10-22,4.0,30.0,3.0,32.0
2023-10-23,3.857142857142857,32.285714285714285,4.285714285714286,30.714285714285715
2023-10-24,3.7142857142857144,34.57142857142857,5.571428571428571,29.428571428571427
2023-10-25,3.5714285714285716,36.857142857142854,6.857142857142858,28.142857142857142
2023-10-26,3.428571428571429,39.14285714285714,8.142857142857142,26.857142857142858
2023-10-27,3.2857142857142856,41.42857142857143,9.428571428571429,25.57142857142857
2023-10-28,3.142857142857143,43.714285714285715,10.714285714285715,24.285714285714285
2023-10-29,3.0,46.0,12.0,23.0
2023-10-30,2.857142857142857,43.57142857142857,10.714285714285714,22.285714285714285
2023-10-31,2.7142857142857144,41.142857142857146,9.428571428571429,21.571428571428573
2023-11-01,2.5714285714285716,38.714285714285715,8.142857142857142,20.857142857142858
2023-11-02,2.428571428571429,36.285714285714285,6.857142857142857,20.142857142857142
2023-11-03,2.2857142857142856,33.85714285714286,5.571428571428571,19.428571428571427
2023-11-04,2.142857142857143,31.42857142857143,4.285714285714285,18.714285714285715
2023-11-05,2.0,29.0,3.0,18.0
2023-11-06,2.0,28.142857142857142,3.0,18.142857142857142
2023-11-07,2.0,27.285714285714285,3.0,18.285714285714285
2023-11-08,2.0,26.42857142857143,3.0,18.428571428571427
2023-11-09,2.0,25.571428571428573,3.0,18.571428571428573
2023-11-10,2.0,24.714285714285715,3.0,18.714285714285715
